date,sku,region,units_cf,price_cf
2023-04-17,OC_TP_REG,South,5023,52.0
2023-04-24,OC_TP_REG,South,4718,53.36
2023-05-01,OC_TP_REG,South,4862,53.36
2023-05-08,OC_TP_REG,South,4206,54.93
2023-05-15,OC_TP_REG,South,4467,56.38
2023-05-22,OC_TP_REG,South,4985,51.17
2023-05-29,OC_TP_REG,South,4845,53.36
2023-06-05,OC_TP_REG,South,4025,55.07
2023-06-12,OC_TP_REG,South,4403,54.5
2023-06-19,OC_TP_REG,South,4511,55.71
2023-06-26,OC_TP_REG,South,4762,49.45
2023-07-03,OC_TP_REG,South,4700,52.02
2023-07-10,OC_TP_REG,South,4098,50.93
2023-07-17,OC_TP_REG,South,4719,51.75
2023-07-24,OC_TP_REG,South,4373,52.29
2023-07-31,OC_TP_REG,South,4927,54.9
2023-08-07,OC_TP_REG,South,4410,53.05
2023-08-14,OC_TP_REG,South,4586,53.91
2023-08-21,OC_TP_REG,South,4248,56.22
2023-08-28,OC_TP_REG,South,4602,54.51
2023-09-04,OC_TP_REG,South,4095,55.12
2023-09-11,OC_TP_REG,South,4846,55.22
2023-09-18,OC_TP_REG,South,4667,56.14
2023-09-25,OC_TP_REG,South,4515,55.42
2023-10-02,OC_TP_REG,South,5066,53.82
2023-10-09,OC_TP_REG,South,5064,50.57
2023-10-16,OC_TP_REG,South,4663,52.27
2023-10-23,OC_TP_REG,South,4245,55.73
2023-10-30,OC_TP_REG,South,5424,52.62
2023-11-06,OC_TP_REG,South,4889,53.26
2023-11-13,OC_TP_REG,South,4721,52.26
2023-11-20,OC_TP_REG,South,4998,54.45
2023-11-27,OC_TP_REG,South,4972,56.4
2023-12-04,OC_TP_REG,South,4377,53.18
2023-12-11,OC_TP_REG,South,5154,47.86
2023-12-18,OC_TP_REG,South,5605,57.91
2023-12-25,OC_TP_REG,South,5733,51.81
2024-01-01,OC_TP_REG,South,6310,55.04
2024-01-08,OC_TP_REG,South,5041,52.6
2024-01-15,OC_TP_REG,South,4915,54.41
2024-01-22,OC_TP_REG,South,5329,50.06
2024-01-29,OC_TP_REG,South,5796,53.31
2024-02-05,OC_TP_REG,South,5263,56.02
2024-02-12,OC_TP_REG,South,5019,54.88
2024-02-19,OC_TP_REG,South,4839,56.99
2024-02-26,OC_TP_REG,South,4596,53.97
2024-03-04,OC_TP_REG,South,4417,54.23
2024-03-11,OC_TP_REG,South,4587,51.69
2024-03-18,OC_TP_REG,South,5526,52.03
2024-03-25,OC_TP_REG,South,4586,56.04
2024-04-01,OC_TP_REG,South,4718,51.99
2024-04-08,OC_TP_REG,South,4859,52.78
2024-04-15,OC_TP_REG,South,3761,56.52
2024-04-22,OC_TP_REG,South,4992,53.5
2024-04-29,OC_TP_REG,South,4949,52.09
2024-05-06,OC_TP_REG,South,4247,55.49
2024-05-13,OC_TP_REG,South,4795,53.04
2024-05-20,OC_TP_REG,South,5117,52.74
2024-05-27,OC_TP_REG,South,4485,56.54
2024-06-03,OC_TP_REG,South,4624,52.02
2024-06-10,OC_TP_REG,South,5403,53.3
2024-06-17,OC_TP_REG,South,5475,50.37
2024-06-24,OC_TP_REG,South,4724,52.89
2024-07-01,OC_TP_REG,South,4079,55.87
2024-07-08,OC_TP_REG,South,4966,58.29
2024-07-15,OC_TP_REG,South,5551,53.91
2024-07-22,OC_TP_REG,South,4691,56.24
2024-07-29,OC_TP_REG,South,5167,52.15
2024-08-05,OC_TP_REG,South,3989,57.91
2024-08-12,OC_TP_REG,South,5955,53.95
2024-08-19,OC_TP_REG,South,5192,51.72
2024-08-26,OC_TP_REG,South,5631,54.85
2024-09-02,OC_TP_REG,South,5169,53.37
2024-09-09,OC_TP_REG,South,4419,56.09
2024-09-16,OC_TP_REG,South,5422,52.4
2024-09-23,OC_TP_REG,South,4409,53.3
2024-09-30,OC_TP_REG,South,4658,56.86
2024-10-07,OC_TP_REG,South,4879,54.32
2024-10-14,OC_TP_REG,South,5560,52.31
2024-10-21,OC_TP_REG,South,5451,53.19
2024-10-28,OC_TP_REG,South,5016,51.13
2024-11-04,OC_TP_REG,South,4709,55.91
2024-11-11,OC_TP_REG,South,5862,54.02
2024-11-18,OC_TP_REG,South,4540,55.93
2024-11-25,OC_TP_REG,South,5025,55.93
2024-12-02,OC_TP_REG,South,5724,50.67
2024-12-09,OC_TP_REG,South,4622,52.6
2024-12-16,OC_TP_REG,South,4717,55.22
2024-12-23,OC_TP_REG,South,5215,54.1
2023-01-02,OC_TP_REG,West,5119,54.06
2023-01-09,OC_TP_REG,West,4333,58.38
2023-01-16,OC_TP_REG,West,3956,59.4
2023-01-23,OC_TP_REG,West,5054,54.69
2023-01-30,OC_TP_REG,West,5239,59.73
2023-02-06,OC_TP_REG,West,5059,54.55
2023-02-13,OC_TP_REG,West,5232,53.48
2023-02-20,OC_TP_REG,West,4839,60.17
2023-02-27,OC_TP_REG,West,5304,56.13
2023-03-06,OC_TP_REG,West,5050,55.49
2023-03-13,OC_TP_REG,West,5911,54.94
2023-03-20,OC_TP_REG,West,5431,58.63
2023-03-27,OC_TP_REG,West,5089,58.56
2023-04-03,OC_TP_REG,West,4834,57.8
2023-04-10,OC_TP_REG,West,5243,56.64
2023-04-17,OC_TP_REG,West,5081,56.97
2023-04-24,OC_TP_REG,West,4594,60.74
2023-05-01,OC_TP_REG,West,4634,57.47
2023-05-08,OC_TP_REG,West,4561,57.36
2023-05-15,OC_TP_REG,West,4571,56.13
2023-05-22,OC_TP_REG,West,3761,57.72
2023-05-29,OC_TP_REG,West,5044,56.64
2023-06-05,OC_TP_REG,West,4910,55.4
2023-06-12,OC_TP_REG,West,4554,57.23
2023-06-19,OC_TP_REG,West,4426,57.73
2023-06-26,OC_TP_REG,West,5146,55.94
2023-07-03,OC_TP_REG,West,4943,55.28
2023-07-10,OC_TP_REG,West,4815,57.8
2023-07-17,OC_TP_REG,West,4931,56.96
2023-07-24,OC_TP_REG,West,4674,57.78
2023-07-31,OC_TP_REG,West,4748,54.42
2023-08-07,OC_TP_REG,West,5242,54.64
2023-08-14,OC_TP_REG,West,5188,58.9
2023-08-21,OC_TP_REG,West,5444,55.47
2023-08-28,OC_TP_REG,West,5183,55.27
2023-09-04,OC_TP_REG,West,4413,58.65
2023-09-11,OC_TP_REG,West,4239,57.38
2023-09-18,OC_TP_REG,West,4661,58.6
2023-09-25,OC_TP_REG,West,5237,59.23
2023-10-02,OC_TP_REG,West,4298,55.39
2023-10-09,OC_TP_REG,West,4399,59.3
2023-10-16,OC_TP_REG,West,4981,58.36
2023-10-23,OC_TP_REG,West,5247,55.54
2023-10-30,OC_TP_REG,West,5677,54.51
2023-11-06,OC_TP_REG,West,5612,59.79
2023-11-13,OC_TP_REG,West,5923,53.19
2023-11-20,OC_TP_REG,West,5421,60.11
2023-11-27,OC_TP_REG,West,5136,59.23
2023-12-04,OC_TP_REG,West,5313,57.53
2023-12-11,OC_TP_REG,West,5724,58.99
2023-12-18,OC_TP_REG,West,5644,54.85
2023-12-25,OC_TP_REG,West,4850,55.79
2024-01-01,OC_TP_REG,West,6159,49.9
2024-01-08,OC_TP_REG,West,5367,57.72
2024-01-15,OC_TP_REG,West,5300,57.48
2024-01-22,OC_TP_REG,West,5204,56.03
2024-01-29,OC_TP_REG,West,5339,59.68
2024-02-05,OC_TP_REG,West,5642,57.88
2024-02-12,OC_TP_REG,West,5450,52.48
2024-02-19,OC_TP_REG,West,5182,57.88
2024-02-26,OC_TP_REG,West,5792,59.92
2024-03-04,OC_TP_REG,West,5192,59.48
2024-03-11,OC_TP_REG,West,5328,60.01
2024-03-18,OC_TP_REG,West,5231,55.4
2024-03-25,OC_TP_REG,West,5224,56.56
2024-04-01,OC_TP_REG,West,4910,57.85
2024-04-08,OC_TP_REG,West,5299,56.49
2024-04-15,OC_TP_REG,West,5282,55.07
2024-04-22,OC_TP_REG,West,4820,56.43
2024-04-29,OC_TP_REG,West,5529,57.25
2024-05-06,OC_TP_REG,West,4734,57.64
2024-05-13,OC_TP_REG,West,5063,59.81
2024-05-20,OC_TP_REG,West,5317,58.11
2024-05-27,OC_TP_REG,West,5513,52.42
2024-06-03,OC_TP_REG,West,4719,55.31
2024-06-10,OC_TP_REG,West,6416,54.11
2024-06-17,OC_TP_REG,West,4803,59.9
2024-06-24,OC_TP_REG,West,6259,54.28
2024-07-01,OC_TP_REG,West,4901,57.45
2024-07-08,OC_TP_REG,West,5958,55.21
2024-07-15,OC_TP_REG,West,5441,56.2
2024-07-22,OC_TP_REG,West,5948,53.21
2024-07-29,OC_TP_REG,West,5631,57.02
2024-08-05,OC_TP_REG,West,5382,56.1
2024-08-12,OC_TP_REG,West,5677,57.55
2024-08-19,OC_TP_REG,West,5301,56.57
2024-08-26,OC_TP_REG,West,5442,58.02
2024-09-02,OC_TP_REG,West,5146,55.73
2024-09-09,OC_TP_REG,West,5640,52.53
2024-09-16,OC_TP_REG,West,5671,54.96
2024-09-23,OC_TP_REG,West,5472,56.15
2024-09-30,OC_TP_REG,West,5179,54.85
2024-10-07,OC_TP_REG,West,6166,54.74
2024-10-14,OC_TP_REG,West,5173,59.9
2024-10-21,OC_TP_REG,West,5420,56.37
2024-10-28,OC_TP_REG,West,6093,55.35
2024-11-04,OC_TP_REG,West,6059,56.93
2024-11-11,OC_TP_REG,West,6309,55.01
2024-11-18,OC_TP_REG,West,5887,56.73
2024-11-25,OC_TP_REG,West,5803,56.17
2024-12-02,OC_TP_REG,West,5278,58.41
2024-12-09,OC_TP_REG,West,6343,54.61
2024-12-16,OC_TP_REG,West,5194,57.12
2024-12-23,OC_TP_REG,West,6259,56.64
2023-01-02,OC_TP_REG,East,4179,53.46
2023-01-09,OC_TP_REG,East,3567,52.5
2023-01-16,OC_TP_REG,East,3705,55.63
2023-01-23,OC_TP_REG,East,3788,53.89
2023-01-30,OC_TP_REG,East,3872,51.76
2023-02-06,OC_TP_REG,East,4000,52.74
2023-02-13,OC_TP_REG,East,3348,53.03
2023-02-20,OC_TP_REG,East,3602,57.42
2023-02-27,OC_TP_REG,East,3693,54.74
2023-03-06,OC_TP_REG,East,3851,50.99
2023-03-13,OC_TP_REG,East,3518,52.7
2023-03-20,OC_TP_REG,East,3680,56.02
2023-03-27,OC_TP_REG,East,4205,49.02
2023-04-03,OC_TP_REG,East,4224,53.43
2023-04-10,OC_TP_REG,East,3521,54.3
2023-04-17,OC_TP_REG,East,3296,58.98
2023-04-24,OC_TP_REG,East,3947,50.53
2023-05-01,OC_TP_REG,East,3357,53.54
2023-05-08,OC_TP_REG,East,3532,53.64
2023-05-15,OC_TP_REG,East,3176,57.63
2023-05-22,OC_TP_REG,East,3570,53.12
2023-05-29,OC_TP_REG,East,3594,52.62
2023-06-05,OC_TP_REG,East,3651,53.24
2023-06-12,OC_TP_REG,East,3621,53.17
2023-06-19,OC_TP_REG,East,3848,50.25
2023-06-26,OC_TP_REG,East,3194,53.57
2023-07-03,OC_TP_REG,East,2876,60.96
2023-07-10,OC_TP_REG,East,2893,51.61
2023-07-17,OC_TP_REG,East,4182,50.85
2023-07-24,OC_TP_REG,East,3290,55.29
2023-07-31,OC_TP_REG,East,3410,53.95
2023-08-07,OC_TP_REG,East,3372,55.07
2023-08-14,OC_TP_REG,East,3543,54.78
2023-08-21,OC_TP_REG,East,3023,57.02
2023-08-28,OC_TP_REG,East,4494,49.7
2023-09-04,OC_TP_REG,East,4098,51.11
2023-09-11,OC_TP_REG,East,3890,49.65
2023-09-18,OC_TP_REG,East,3854,52.92
2023-09-25,OC_TP_REG,East,3301,53.06
2023-10-02,OC_TP_REG,East,4134,51.45
2023-10-09,OC_TP_REG,East,4138,52.67
2023-10-16,OC_TP_REG,East,3619,51.59
2023-10-23,OC_TP_REG,East,3698,53.1
2023-10-30,OC_TP_REG,East,3908,53.63
2023-11-06,OC_TP_REG,East,4412,54.5
2023-11-13,OC_TP_REG,East,4132,52.69
2023-11-20,OC_TP_REG,East,4554,54.12
2023-11-27,OC_TP_REG,East,3973,55.25
2023-12-04,OC_TP_REG,East,4123,52.01
2023-12-11,OC_TP_REG,East,4226,54.02
2023-12-18,OC_TP_REG,East,4163,51.31
2023-12-25,OC_TP_REG,East,4335,53.87
2024-01-01,OC_TP_REG,East,3954,53.18
2024-01-08,OC_TP_REG,East,4069,52.54
2024-01-15,OC_TP_REG,East,4086,55.09
2024-01-22,OC_TP_REG,East,4068,52.79
2024-01-29,OC_TP_REG,East,3506,51.42
2024-02-05,OC_TP_REG,East,3707,54.25
2024-02-12,OC_TP_REG,East,4434,49.33
2024-02-19,OC_TP_REG,East,4056,52.91
2024-02-26,OC_TP_REG,East,4124,51.78
2024-03-04,OC_TP_REG,East,3841,50.95
2024-03-11,OC_TP_REG,East,4041,53.88
2024-03-18,OC_TP_REG,East,3315,55.59
2024-03-25,OC_TP_REG,East,3823,54.03
2024-04-01,OC_TP_REG,East,3664,54.24
2024-04-08,OC_TP_REG,East,3776,52.29
2024-04-15,OC_TP_REG,East,4293,55.32
2024-04-22,OC_TP_REG,East,3551,52.65
2024-04-29,OC_TP_REG,East,4214,52.78
2024-05-06,OC_TP_REG,East,4933,52.14
2024-05-13,OC_TP_REG,East,4304,55.04
2024-05-20,OC_TP_REG,East,3856,52.71
2024-05-27,OC_TP_REG,East,3786,54.29
2024-06-03,OC_TP_REG,East,4272,51.81
2024-06-10,OC_TP_REG,East,3632,54.61
2024-06-17,OC_TP_REG,East,3360,56.06
2024-06-24,OC_TP_REG,East,3654,52.18
2024-07-01,OC_TP_REG,East,3978,49.96
2024-07-08,OC_TP_REG,East,4216,53.24
2024-07-15,OC_TP_REG,East,3961,52.01
2024-07-22,OC_TP_REG,East,3826,52.21
2024-07-29,OC_TP_REG,East,3999,50.52
2024-08-05,OC_TP_REG,East,3733,52.29
2024-08-12,OC_TP_REG,East,3744,55.93
2024-08-19,OC_TP_REG,East,4326,52.18
2024-08-26,OC_TP_REG,East,3526,52.85
2024-09-02,OC_TP_REG,East,3865,53.41
2024-09-09,OC_TP_REG,East,3715,55.69
2024-09-16,OC_TP_REG,East,3874,55.35
2024-09-23,OC_TP_REG,East,3674,54.09
2024-09-30,OC_TP_REG,East,4667,53.26
2024-10-07,OC_TP_REG,East,4150,51.15
2024-10-14,OC_TP_REG,East,4473,51.54
2024-10-21,OC_TP_REG,East,4080,53.84
2024-10-28,OC_TP_REG,East,4150,54.71
2024-11-04,OC_TP_REG,East,4238,53.17
2024-11-11,OC_TP_REG,East,4610,51.64
2024-11-18,OC_TP_REG,East,3797,54.1
2024-11-25,OC_TP_REG,East,3921,53.97
2024-12-02,OC_TP_REG,East,4258,53.75
2024-12-09,OC_TP_REG,East,4066,54.41
2024-12-16,OC_TP_REG,East,3978,57.36
2024-12-23,OC_TP_REG,East,4161,55.47
2023-01-02,OC_TP_REG,Central,3942,54.98
2023-01-09,OC_TP_REG,Central,4608,52.41
2023-01-16,OC_TP_REG,Central,4565,53.67
2023-01-23,OC_TP_REG,Central,4065,54.48
2023-01-30,OC_TP_REG,Central,3659,57.93
2023-02-06,OC_TP_REG,Central,3624,55.78
2023-02-13,OC_TP_REG,Central,3894,54.8
2023-02-20,OC_TP_REG,Central,4093,57.55
2023-02-27,OC_TP_REG,Central,3487,57.33
2023-03-06,OC_TP_REG,Central,4016,54.64
2023-03-13,OC_TP_REG,Central,4372,55.62
2023-03-20,OC_TP_REG,Central,4162,56.74
2023-03-27,OC_TP_REG,Central,3304,58.9
2023-04-03,OC_TP_REG,Central,4179,56.07
2023-04-10,OC_TP_REG,Central,3739,57.4
2023-04-17,OC_TP_REG,Central,3794,52.56
2023-04-24,OC_TP_REG,Central,4328,55.39
2023-05-01,OC_TP_REG,Central,3909,57.8
2023-05-08,OC_TP_REG,Central,4112,52.73
2023-05-15,OC_TP_REG,Central,4205,58.51
2023-05-22,OC_TP_REG,Central,3899,55.1
2023-05-29,OC_TP_REG,Central,4078,54.04
2023-06-05,OC_TP_REG,Central,3775,57.34
2023-06-12,OC_TP_REG,Central,4404,54.73
2023-06-19,OC_TP_REG,Central,4343,53.36
2023-06-26,OC_TP_REG,Central,4019,57.74
2023-07-03,OC_TP_REG,Central,4350,50.87
2023-07-10,OC_TP_REG,Central,4101,59.45
2023-07-17,OC_TP_REG,Central,4519,55.86
2023-07-24,OC_TP_REG,Central,4363,57.09
2023-07-31,OC_TP_REG,Central,4070,54.37
2023-08-07,OC_TP_REG,Central,4227,54.02
2023-08-14,OC_TP_REG,Central,4376,55.71
2023-08-21,OC_TP_REG,Central,4274,51.8
2023-08-28,OC_TP_REG,Central,3676,56.62
2023-09-04,OC_TP_REG,Central,4274,55.87
2023-09-11,OC_TP_REG,Central,4567,52.3
2023-09-18,OC_TP_REG,Central,4816,51.46
2023-09-25,OC_TP_REG,Central,3926,54.99
2023-10-02,OC_TP_REG,Central,4441,55.68
2023-10-09,OC_TP_REG,Central,4569,54.67
2023-10-16,OC_TP_REG,Central,4880,52.53
2023-10-23,OC_TP_REG,Central,4819,51.03
2023-10-30,OC_TP_REG,Central,4217,55.43
2023-11-06,OC_TP_REG,Central,5346,54.82
2023-11-13,OC_TP_REG,Central,4156,54.47
2023-11-20,OC_TP_REG,Central,4201,55.18
2023-11-27,OC_TP_REG,Central,4726,57.08
2023-12-04,OC_TP_REG,Central,4466,56.96
2023-12-11,OC_TP_REG,Central,4886,57.49
2023-12-18,OC_TP_REG,Central,4529,56.21
2023-12-25,OC_TP_REG,Central,4490,54.81
2024-01-01,OC_TP_REG,Central,4765,54.02
2024-01-08,OC_TP_REG,Central,4443,53.94
2024-01-15,OC_TP_REG,Central,4430,56.03
2024-01-22,OC_TP_REG,Central,4200,59.35
2024-01-29,OC_TP_REG,Central,4388,54.51
2024-02-05,OC_TP_REG,Central,4010,57.72
2024-02-12,OC_TP_REG,Central,4565,56.88
2024-02-19,OC_TP_REG,Central,4009,57.83
2024-02-26,OC_TP_REG,Central,4461,53.11
2024-03-04,OC_TP_REG,Central,3749,51.17
2024-03-11,OC_TP_REG,Central,4299,55.16
2024-03-18,OC_TP_REG,Central,4563,52.54
2024-03-25,OC_TP_REG,Central,4405,52.11
2024-04-01,OC_TP_REG,Central,3645,53.39
2024-04-08,OC_TP_REG,Central,4546,57.43
2024-04-15,OC_TP_REG,Central,4421,59.25
2024-04-22,OC_TP_REG,Central,4395,54.17
2024-04-29,OC_TP_REG,Central,4150,53.8
2024-05-06,OC_TP_REG,Central,4154,51.05
2024-05-13,OC_TP_REG,Central,4130,57.04
2024-05-20,OC_TP_REG,Central,3881,57.04
2024-05-27,OC_TP_REG,Central,4300,56.03
2024-06-03,OC_TP_REG,Central,3836,55.39
2024-06-10,OC_TP_REG,Central,4235,53.89
2024-06-17,OC_TP_REG,Central,3967,55.26
2024-06-24,OC_TP_REG,Central,4568,56.23
2024-07-01,OC_TP_REG,Central,4800,54.31
2024-07-08,OC_TP_REG,Central,4150,57.35
2024-07-15,OC_TP_REG,Central,3996,56.24
2024-07-22,OC_TP_REG,Central,4284,57.77
2024-07-29,OC_TP_REG,Central,3973,58.17
2024-08-05,OC_TP_REG,Central,4509,53.64
2024-08-12,OC_TP_REG,Central,4301,55.11
2024-08-19,OC_TP_REG,Central,4333,52.81
2024-08-26,OC_TP_REG,Central,3779,58.41
2024-09-02,OC_TP_REG,Central,4604,54.26
2024-09-09,OC_TP_REG,Central,4317,54.92
2024-09-16,OC_TP_REG,Central,5113,50.97
2024-09-23,OC_TP_REG,Central,4026,51.39
2024-09-30,OC_TP_REG,Central,4587,55.55
2024-10-07,OC_TP_REG,Central,4483,58.8
2024-10-14,OC_TP_REG,Central,4866,56.19
2024-10-21,OC_TP_REG,Central,4232,53.98
2024-10-28,OC_TP_REG,Central,4567,53.21
2024-11-04,OC_TP_REG,Central,4026,58.49
2024-11-11,OC_TP_REG,Central,4432,55.1
2024-11-18,OC_TP_REG,Central,4898,55.82
2024-11-25,OC_TP_REG,Central,4385,55.64
2024-12-02,OC_TP_REG,Central,4326,52.28
2024-12-09,OC_TP_REG,Central,3910,58.34
2024-12-16,OC_TP_REG,Central,4699,52.97
2024-12-23,OC_TP_REG,Central,5201,54.53
2023-01-02,OC_TP_PREM,North,2186,115.64
2023-01-09,OC_TP_PREM,North,2404,107.66
2023-01-16,OC_TP_PREM,North,2473,112.19
2023-01-23,OC_TP_PREM,North,2048,118.1
2023-01-30,OC_TP_PREM,North,1974,122.33
2023-02-06,OC_TP_PREM,North,2043,114.98
2023-02-13,OC_TP_PREM,North,2029,115.36
2023-02-20,OC_TP_PREM,North,1872,118.54
2023-02-27,OC_TP_PREM,North,1944,114.01
2023-03-06,OC_TP_PREM,North,2162,108.31
2023-03-13,OC_TP_PREM,North,2265,106.67
2023-03-20,OC_TP_PREM,North,2366,104.56
2023-03-27,OC_TP_PREM,North,2282,110.21
2023-04-03,OC_TP_PREM,North,1950,115.13
2023-04-10,OC_TP_PREM,North,2219,113.52
2023-04-17,OC_TP_PREM,North,2120,112.83
2023-04-24,OC_TP_PREM,North,2165,118.71
2023-05-01,OC_TP_PREM,North,1919,106.81
2023-05-08,OC_TP_PREM,North,1999,111.49
2023-05-15,OC_TP_PREM,North,1836,118.5
2023-05-22,OC_TP_PREM,North,1944,111.15
2023-05-29,OC_TP_PREM,North,2550,106.74
2023-06-05,OC_TP_PREM,North,1815,112.82
2023-06-12,OC_TP_PREM,North,2088,112.94
2023-06-19,OC_TP_PREM,North,1783,114.81
2023-06-26,OC_TP_PREM,North,2001,118.63
2023-07-03,OC_TP_PREM,North,1911,109.74
2023-07-10,OC_TP_PREM,North,2281,105.46
2023-07-17,OC_TP_PREM,North,2380,110.93
2023-07-24,OC_TP_PREM,North,1914,110.31
2023-07-31,OC_TP_PREM,North,1702,114.15
2023-08-07,OC_TP_PREM,North,2168,111.81
2023-08-14,OC_TP_PREM,North,1838,117.19
