date,sku,category,region,units,price,promo_flag,discount_depth,revenue
2023-07-03,OC_TP_REG,Oral Care,South,4700,52.02,0,0.0,244479.61
2023-07-10,OC_TP_REG,Oral Care,South,4098,50.93,0,0.0,208725.47
2023-07-17,OC_TP_REG,Oral Care,South,4719,51.75,0,0.0,244228.88
2023-07-24,OC_TP_REG,Oral Care,South,4373,52.29,0,0.0,228645.85
2023-07-31,OC_TP_REG,Oral Care,South,4927,54.9,0,0.0,270501.17
2023-08-07,OC_TP_REG,Oral Care,South,4410,53.05,0,0.0,233969.57
2023-08-14,OC_TP_REG,Oral Care,South,4586,53.91,0,0.0,247242.35
2023-08-21,OC_TP_REG,Oral Care,South,4248,56.22,0,0.0,238813.45
2023-08-28,OC_TP_REG,Oral Care,South,4602,54.51,0,0.0,250877.81
2023-09-04,OC_TP_REG,Oral Care,South,4095,55.12,0,0.0,225713.59
2023-09-11,OC_TP_REG,Oral Care,South,4846,55.22,0,0.0,267593.06
2023-09-18,OC_TP_REG,Oral Care,South,4667,56.14,0,0.0,261982.37
2023-09-25,OC_TP_REG,Oral Care,South,4515,55.42,0,0.0,250235.36
2023-10-02,OC_TP_REG,Oral Care,South,5066,53.82,0,0.0,272632.83
2023-10-09,OC_TP_REG,Oral Care,South,5064,50.57,0,0.0,256061.57
2023-10-16,OC_TP_REG,Oral Care,South,4663,52.27,0,0.0,243731.54
2023-10-23,OC_TP_REG,Oral Care,South,4245,55.73,0,0.0,236559.47
2023-10-30,OC_TP_REG,Oral Care,South,5424,52.62,0,0.0,285389.95
2023-11-06,OC_TP_REG,Oral Care,South,4009,53.26,0,0.0,213537.94
2023-11-13,OC_TP_REG,Oral Care,South,3871,52.26,0,0.0,202312.09
2023-11-20,OC_TP_REG,Oral Care,South,4098,54.45,0,0.0,223129.89
2023-11-27,OC_TP_REG,Oral Care,South,4972,56.4,0,0.0,280421.6
2023-12-04,OC_TP_REG,Oral Care,South,4377,53.18,0,0.0,232788.82
2023-12-11,OC_TP_REG,Oral Care,South,5154,47.86,0,0.0,246664.75
2023-12-18,OC_TP_REG,Oral Care,South,5605,57.91,0,0.0,324596.99
2023-12-25,OC_TP_REG,Oral Care,South,5733,51.81,0,0.0,297020.83
2024-01-01,OC_TP_REG,Oral Care,South,6310,55.04,0,0.0,347327.63
2024-01-08,OC_TP_REG,Oral Care,South,5041,52.6,0,0.0,265159.57
2024-01-15,OC_TP_REG,Oral Care,South,4915,54.41,0,0.0,267414.23
2024-01-22,OC_TP_REG,Oral Care,South,5329,50.06,0,0.0,266773.46
2024-01-29,OC_TP_REG,Oral Care,South,5796,53.31,0,0.0,308965.39
2024-02-05,OC_TP_REG,Oral Care,South,5263,56.02,0,0.0,294854.27
2024-02-12,OC_TP_REG,Oral Care,South,5019,54.88,0,0.0,275461.37
2024-02-19,OC_TP_REG,Oral Care,South,4839,56.99,0,0.0,275795.12
2024-02-26,OC_TP_REG,Oral Care,South,4596,53.97,0,0.0,248052.83
2024-03-04,OC_TP_REG,Oral Care,South,4417,54.23,0,0.0,239551.26
2024-03-11,OC_TP_REG,Oral Care,South,4587,51.69,0,0.0,237122.87
2024-03-18,OC_TP_REG,Oral Care,South,5526,52.03,0,0.0,287497.9
2024-03-25,OC_TP_REG,Oral Care,South,4586,56.04,0,0.0,256986.77
2024-04-01,OC_TP_REG,Oral Care,South,4718,51.99,0,0.0,245284.6
2024-04-08,OC_TP_REG,Oral Care,South,4859,52.78,0,0.0,256472.45
2024-04-15,OC_TP_REG,Oral Care,South,3761,56.52,0,0.0,212589.72
2024-04-22,OC_TP_REG,Oral Care,South,4992,53.5,0,0.0,267071.17
2024-04-29,OC_TP_REG,Oral Care,South,4949,52.09,0,0.0,257787.68
2024-05-06,OC_TP_REG,Oral Care,South,4247,55.49,0,0.0,235657.61
2024-05-13,OC_TP_REG,Oral Care,South,4795,53.04,0,0.0,254326.53
2024-05-20,OC_TP_REG,Oral Care,South,5117,52.74,0,0.0,269869.51
2024-05-27,OC_TP_REG,Oral Care,South,4485,56.54,0,0.0,253559.94
2024-06-03,OC_TP_REG,Oral Care,South,4624,52.02,0,0.0,240538.07
2024-06-10,OC_TP_REG,Oral Care,South,5403,53.3,0,0.0,287980.1
2024-06-17,OC_TP_REG,Oral Care,South,5475,50.37,0,0.0,275799.56
2024-06-24,OC_TP_REG,Oral Care,South,4724,52.89,0,0.0,249840.76
2024-07-01,OC_TP_REG,Oral Care,South,4079,55.87,0,0.0,227902.83
2024-07-08,OC_TP_REG,Oral Care,South,4966,58.29,0,0.0,289452.41
2024-07-15,OC_TP_REG,Oral Care,South,5551,53.91,0,0.0,299262.17
2024-07-22,OC_TP_REG,Oral Care,South,4691,56.24,0,0.0,263799.42
2024-07-29,OC_TP_REG,Oral Care,South,5167,52.15,0,0.0,269466.52
2024-08-05,OC_TP_REG,Oral Care,South,3989,57.91,0,0.0,231017.51
2024-08-12,OC_TP_REG,Oral Care,South,5955,53.95,0,0.0,321294.33
2024-08-19,OC_TP_REG,Oral Care,South,5192,51.72,0,0.0,268531.02
2024-08-26,OC_TP_REG,Oral Care,South,5631,54.85,0,0.0,308877.16
2024-09-02,OC_TP_REG,Oral Care,South,5169,53.37,0,0.0,275857.77
2024-09-09,OC_TP_REG,Oral Care,South,3623,56.09,0,0.0,203207.76
2024-09-16,OC_TP_REG,Oral Care,South,4446,52.4,0,0.0,232958.77
2024-09-23,OC_TP_REG,Oral Care,South,3615,53.3,0,0.0,192666.29
2024-09-30,OC_TP_REG,Oral Care,South,4658,56.86,0,0.0,264851.07
2024-10-07,OC_TP_REG,Oral Care,South,4879,54.32,0,0.0,265008.05
2024-10-14,OC_TP_REG,Oral Care,South,5560,52.31,0,0.0,290837.36
2024-10-21,OC_TP_REG,Oral Care,South,5451,53.19,0,0.0,289942.39
2024-10-28,OC_TP_REG,Oral Care,South,5016,51.13,0,0.0,256454.62
2024-11-04,OC_TP_REG,Oral Care,South,4709,55.91,0,0.0,263277.09
2024-11-11,OC_TP_REG,Oral Care,South,5862,54.02,0,0.0,316672.2
2024-11-18,OC_TP_REG,Oral Care,South,4540,55.93,0,0.0,253904.57
2024-11-25,OC_TP_REG,Oral Care,South,5025,55.93,0,0.0,281027.14
2024-12-02,OC_TP_REG,Oral Care,South,5724,50.67,0,0.0,290025.49
2024-12-09,OC_TP_REG,Oral Care,South,4622,52.6,0,0.0,243096.09
2024-12-16,OC_TP_REG,Oral Care,South,4717,55.22,0,0.0,260464.21
2024-12-23,OC_TP_REG,Oral Care,South,5215,54.1,0,0.0,282129.14
2023-01-02,OC_TP_REG,Oral Care,West,5119,54.06,0,0.0,276748.93
2023-01-09,OC_TP_REG,Oral Care,West,4333,58.38,0,0.0,252968.83
2023-01-16,OC_TP_REG,Oral Care,West,3956,59.4,0,0.0,234987.25
2023-01-23,OC_TP_REG,Oral Care,West,5054,54.69,0,0.0,276384.89
2023-01-30,OC_TP_REG,Oral Care,West,5239,59.73,0,0.0,312950.99
2023-02-06,OC_TP_REG,Oral Care,West,5059,54.55,0,0.0,275953.12
2023-02-13,OC_TP_REG,Oral Care,West,5232,53.48,0,0.0,279796.68
2023-02-20,OC_TP_REG,Oral Care,West,4839,60.17,0,0.0,291152.05
2023-02-27,OC_TP_REG,Oral Care,West,5304,56.13,0,0.0,297721.25
2023-03-06,OC_TP_REG,Oral Care,West,5050,55.49,0,0.0,280212.76
2023-03-13,OC_TP_REG,Oral Care,West,5911,54.94,0,0.0,324765.72
2023-03-20,OC_TP_REG,Oral Care,West,5431,58.63,0,0.0,318415.89
2023-03-27,OC_TP_REG,Oral Care,West,5089,58.56,0,0.0,298005.91
2023-04-03,OC_TP_REG,Oral Care,West,4834,57.8,0,0.0,279405.37
2023-04-10,OC_TP_REG,Oral Care,West,4299,56.64,0,0.0,243498.94
2023-04-17,OC_TP_REG,Oral Care,West,4167,56.97,0,0.0,237387.28
2023-04-24,OC_TP_REG,Oral Care,West,3767,60.74,0,0.0,228812.41
2023-05-01,OC_TP_REG,Oral Care,West,4634,57.47,0,0.0,266337.66
2023-05-08,OC_TP_REG,Oral Care,West,4561,57.36,0,0.0,261623.51
2023-05-15,OC_TP_REG,Oral Care,West,4571,56.13,0,0.0,256549.16
2023-05-22,OC_TP_REG,Oral Care,West,3761,57.72,0,0.0,217100.89
2023-05-29,OC_TP_REG,Oral Care,West,5044,56.64,0,0.0,285706.37
2023-06-05,OC_TP_REG,Oral Care,West,4910,55.4,0,0.0,272034.29
2023-06-12,OC_TP_REG,Oral Care,West,4554,57.23,0,0.0,260625.2
2023-06-19,OC_TP_REG,Oral Care,West,4426,57.73,0,0.0,255532.38
2023-06-26,OC_TP_REG,Oral Care,West,5146,55.94,0,0.0,287876.56
2023-07-03,OC_TP_REG,Oral Care,West,4943,55.28,0,0.0,273267.18
2023-07-10,OC_TP_REG,Oral Care,West,4815,57.8,0,0.0,278303.63
2023-07-17,OC_TP_REG,Oral Care,West,4931,56.96,0,0.0,280848.64
2023-07-24,OC_TP_REG,Oral Care,West,4674,57.78,0,0.0,270045.32
2023-07-31,OC_TP_REG,Oral Care,West,4748,54.42,0,0.0,258381.77
2023-08-07,OC_TP_REG,Oral Care,West,5242,54.64,0,0.0,286437.01
2023-08-14,OC_TP_REG,Oral Care,West,5188,58.9,0,0.0,305580.13
2023-08-21,OC_TP_REG,Oral Care,West,5444,55.47,0,0.0,301985.68
2023-08-28,OC_TP_REG,Oral Care,West,5183,55.27,0,0.0,286453.92
2023-09-04,OC_TP_REG,Oral Care,West,4413,58.65,0,0.0,258805.64
2023-09-11,OC_TP_REG,Oral Care,West,4239,57.38,0,0.0,243225.18
2023-09-18,OC_TP_REG,Oral Care,West,4661,58.6,0,0.0,273118.71
2023-09-25,OC_TP_REG,Oral Care,West,5237,59.23,0,0.0,310164.38
2023-10-02,OC_TP_REG,Oral Care,West,4298,55.39,0,0.0,238053.93
2023-10-09,OC_TP_REG,Oral Care,West,4399,59.3,0,0.0,260867.77
2023-10-16,OC_TP_REG,Oral Care,West,4981,58.36,0,0.0,290684.82
2023-10-23,OC_TP_REG,Oral Care,West,5247,55.54,0,0.0,291406.32
2023-10-30,OC_TP_REG,Oral Care,West,5677,54.51,0,0.0,309464.06
2023-11-06,OC_TP_REG,Oral Care,West,4602,59.79,0,0.0,275134.1
2023-11-13,OC_TP_REG,Oral Care,West,4857,53.19,0,0.0,258331.02
2023-11-20,OC_TP_REG,Oral Care,West,4446,60.11,0,0.0,267267.98
2023-11-27,OC_TP_REG,Oral Care,West,5136,59.23,0,0.0,304180.51
2023-12-04,OC_TP_REG,Oral Care,West,5313,57.53,0,0.0,305649.09
2023-12-11,OC_TP_REG,Oral Care,West,5724,58.99,0,0.0,337662.73
2023-12-18,OC_TP_REG,Oral Care,West,5644,54.85,0,0.0,309561.36
2023-12-25,OC_TP_REG,Oral Care,West,4850,55.79,0,0.0,270581.69
2024-01-01,OC_TP_REG,Oral Care,West,6159,49.9,0,0.0,307315.78
2024-01-08,OC_TP_REG,Oral Care,West,5367,57.72,0,0.0,309778.33
2024-01-15,OC_TP_REG,Oral Care,West,5300,57.48,0,0.0,304662.81
2024-01-22,OC_TP_REG,Oral Care,West,5204,56.03,0,0.0,291587.07
2024-01-29,OC_TP_REG,Oral Care,West,5339,59.68,0,0.0,318615.63
2024-02-05,OC_TP_REG,Oral Care,West,5642,57.88,0,0.0,326533.24
2024-02-12,OC_TP_REG,Oral Care,West,5450,52.48,0,0.0,286020.86
2024-02-19,OC_TP_REG,Oral Care,West,5182,57.88,0,0.0,299953.69
2024-02-26,OC_TP_REG,Oral Care,West,5792,59.92,0,0.0,347031.0
2024-03-04,OC_TP_REG,Oral Care,West,5192,59.48,0,0.0,308834.92
2024-03-11,OC_TP_REG,Oral Care,West,5328,60.01,0,0.0,319717.69
2024-03-18,OC_TP_REG,Oral Care,West,5231,55.4,0,0.0,289800.34
2024-03-25,OC_TP_REG,Oral Care,West,5224,56.56,0,0.0,295491.95
2024-04-01,OC_TP_REG,Oral Care,West,4910,57.85,0,0.0,284066.94
2024-04-08,OC_TP_REG,Oral Care,West,5299,56.49,0,0.0,299345.61
2024-04-15,OC_TP_REG,Oral Care,West,5282,55.07,0,0.0,290856.02
2024-04-22,OC_TP_REG,Oral Care,West,4820,56.43,0,0.0,271991.65
2024-04-29,OC_TP_REG,Oral Care,West,5529,57.25,0,0.0,316538.88
2024-05-06,OC_TP_REG,Oral Care,West,4734,57.64,0,0.0,272847.54
2024-05-13,OC_TP_REG,Oral Care,West,5063,59.81,0,0.0,302811.49
2024-05-20,OC_TP_REG,Oral Care,West,5317,58.11,0,0.0,308960.84
2024-05-27,OC_TP_REG,Oral Care,West,5513,52.42,0,0.0,289015.44
2024-06-03,OC_TP_REG,Oral Care,West,4719,55.31,0,0.0,260999.1
2024-06-10,OC_TP_REG,Oral Care,West,6416,54.11,0,0.0,347156.26
2024-06-17,OC_TP_REG,Oral Care,West,4803,59.9,0,0.0,287721.57
2024-06-24,OC_TP_REG,Oral Care,West,6259,54.28,0,0.0,339717.99
2024-07-01,OC_TP_REG,Oral Care,West,4901,57.45,0,0.0,281576.28
2024-07-08,OC_TP_REG,Oral Care,West,5958,55.21,0,0.0,328960.46
2024-07-15,OC_TP_REG,Oral Care,West,5441,56.2,0,0.0,305762.03
2024-07-22,OC_TP_REG,Oral Care,West,5948,53.21,0,0.0,316509.1
2024-07-29,OC_TP_REG,Oral Care,West,5631,57.02,0,0.0,321089.52
2024-08-05,OC_TP_REG,Oral Care,West,5382,56.1,0,0.0,301947.11
2024-08-12,OC_TP_REG,Oral Care,West,5677,57.55,0,0.0,326701.59
2024-08-19,OC_TP_REG,Oral Care,West,5301,56.57,0,0.0,299887.09
2024-08-26,OC_TP_REG,Oral Care,West,5442,58.02,0,0.0,315737.44
2024-09-02,OC_TP_REG,Oral Care,West,5146,55.73,0,0.0,286787.77
2024-09-09,OC_TP_REG,Oral Care,West,4625,52.53,0,0.0,242947.78
2024-09-16,OC_TP_REG,Oral Care,West,4651,54.96,0,0.0,255613.88
2024-09-23,OC_TP_REG,Oral Care,West,4487,56.15,0,0.0,251961.69
2024-09-30,OC_TP_REG,Oral Care,West,5179,54.85,0,0.0,284051.68
2024-10-07,OC_TP_REG,Oral Care,West,6166,54.74,0,0.0,337529.79
2024-10-14,OC_TP_REG,Oral Care,West,5173,59.9,0,0.0,309868.55
2024-10-21,OC_TP_REG,Oral Care,West,5420,56.37,0,0.0,305512.22
2024-10-28,OC_TP_REG,Oral Care,West,6093,55.35,0,0.0,337249.42
2024-11-04,OC_TP_REG,Oral Care,West,6059,56.93,0,0.0,344931.86
2024-11-11,OC_TP_REG,Oral Care,West,6309,55.01,0,0.0,347071.81
2024-11-18,OC_TP_REG,Oral Care,West,5887,56.73,0,0.0,333949.59
2024-11-25,OC_TP_REG,Oral Care,West,5803,56.17,0,0.0,325935.18
2024-12-02,OC_TP_REG,Oral Care,West,5278,58.41,0,0.0,308271.37
2024-12-09,OC_TP_REG,Oral Care,West,6343,54.61,0,0.0,346400.21
2024-12-16,OC_TP_REG,Oral Care,West,5194,57.12,0,0.0,296698.66
2024-12-23,OC_TP_REG,Oral Care,West,6259,56.64,0,0.0,354482.16
2023-01-02,OC_TP_REG,Oral Care,East,4179,53.46,0,0.0,223391.26
2023-01-09,OC_TP_REG,Oral Care,East,3567,52.5,0,0.0,187253.01
2023-01-16,OC_TP_REG,Oral Care,East,3705,55.63,0,0.0,206092.63
2023-01-23,OC_TP_REG,Oral Care,East,3788,53.89,0,0.0,204135.54
2023-01-30,OC_TP_REG,Oral Care,East,3872,51.76,0,0.0,200403.0
2023-02-06,OC_TP_REG,Oral Care,East,4000,52.74,0,0.0,210942.18
2023-02-13,OC_TP_REG,Oral Care,East,3348,53.03,0,0.0,177558.26
2023-02-20,OC_TP_REG,Oral Care,East,3602,57.42,0,0.0,206842.97
2023-02-27,OC_TP_REG,Oral Care,East,3693,54.74,0,0.0,202146.33
2023-03-06,OC_TP_REG,Oral Care,East,3851,50.99,0,0.0,196379.49
2023-03-13,OC_TP_REG,Oral Care,East,3518,52.7,0,0.0,185394.84
2023-03-20,OC_TP_REG,Oral Care,East,3680,56.02,0,0.0,206163.43
2023-03-27,OC_TP_REG,Oral Care,East,4205,49.02,0,0.0,206127.11
2023-04-03,OC_TP_REG,Oral Care,East,4224,53.43,0,0.0,225684.59
2023-04-10,OC_TP_REG,Oral Care,East,2887,54.3,0,0.0,156760.34
2023-04-17,OC_TP_REG,Oral Care,East,2703,58.98,0,0.0,159424.34
2023-04-24,OC_TP_REG,Oral Care,East,3237,50.53,0,0.0,163563.23
2023-05-01,OC_TP_REG,Oral Care,East,3357,53.54,0,0.0,179723.1
2023-05-08,OC_TP_REG,Oral Care,East,3532,53.64,0,0.0,189440.36
